shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service
(1405-07),0.0,1091.7282133724755,914.5457478125755,1273.6338737342112,آچار فرانسه
(1405-08),0.0,1127.99549413048,946.2649923581745,1308.303905896201,آچار فرانسه
(1401-01),739.0,637.5422084044118,-266.9687210070073,1528.2470435524697,اسباب کشی با خاور و کامیون
(1401-02),1347.0,1503.5820271655414,604.180347941135,2402.429192176518,اسباب کشی با خاور و کامیون
(1401-03),2237.0,2082.4685049343225,1173.0312429632952,2988.527261576708,اسباب کشی با خاور و کامیون
(1401-04),3103.0,2527.8416550556976,1621.9214847028784,3435.2087999858522,اسباب کشی با خاور و کامیون
(1401-05),1779.0,2032.6783608065741,1129.498822216609,2934.4579902348955,اسباب کشی با خاور و کامیون
(1401-06),1831.0,2063.077729694737,1162.9633674288802,2967.393134936644,اسباب کشی با خاور و کامیون
(1401-07),1293.0,1424.5752512319204,551.5671427995112,2301.7914336000035,اسباب کشی با خاور و کامیون
(1401-08),1200.0,1163.2737530383263,281.5750461008339,2039.9031987952476,اسباب کشی با خاور و کامیون
(1401-09),1182.0,1026.8233090405056,158.7620046116361,1899.6616912403163,اسباب کشی با خاور و کامیون
(1401-10),1416.0,1266.2391937823445,384.86756347008395,2144.1431605659886,اسباب کشی با خاور و کامیون
(1401-11),947.0,1114.594486260168,244.27030975293079,1986.7131966097775,اسباب کشی با خاور و کامیون
(1401-12),758.0,1011.92818435127,182.4695595117893,1853.8612658373017,اسباب کشی با خاور و کامیون
(1402-01),395.0,292.66521334333885,-606.810870087233,1198.1063693681353,اسباب کشی با خاور و کامیون
(1402-02),1066.0,1080.3641730091167,177.13569793929722,1981.1906514099114,اسباب کشی با خاور و کامیون
(1402-03),1450.0,1744.4307901993307,846.782435247499,2649.149868069173,اسباب کشی با خاور و کامیون
(1402-04),2308.0,2217.7484450346938,1318.357206527455,3130.4528029317817,اسباب کشی با خاور و کامیون
(1402-05),1890.0,1787.9019653937899,895.6094098294932,2689.554059484941,اسباب کشی با خاور و کامیون
(1402-06),1963.0,1914.8510494346258,1016.6749801900244,2814.4802384060376,اسباب کشی با خاور و کامیون
(1402-07),1281.0,1222.9248053357721,346.3178928323299,2088.874972853336,اسباب کشی با خاور و کامیون
(1402-08),1199.0,1068.3014519031817,192.5197491017821,1939.732846509874,اسباب کشی با خاور و کامیون
(1402-09),976.0,1016.088118587244,145.39945615616546,1888.4130999505062,اسباب کشی با خاور و کامیون
(1402-10),968.0,1225.0680822376464,348.3233681506443,2091.699421286325,اسباب کشی با خاور و کامیون
(1402-11),1152.0,1205.402981723548,338.77267688758894,2086.3926201041822,اسباب کشی با خاور و کامیون
(1402-12),1206.0,1187.4585972906873,339.6933637189761,2026.0076879904943,اسباب کشی با خاور و کامیون
(1403-01),595.0,613.7148825795757,-284.67942083343337,1535.7798858234426,اسباب کشی با خاور و کامیون
(1403-02),1492.0,1374.6823033738021,474.79582680492143,2274.3448973461186,اسباب کشی با خاور و کامیون
(1403-03),2165.0,2211.0605828249186,1293.9429263450465,3118.866190952243,اسباب کشی با خاور و کامیون
(1403-04),2419.0,2661.376774841406,1761.440277190091,3567.0530517841285,اسباب کشی با خاور و کامیون
(1403-05),2498.0,2339.8976807683644,1427.9636131544669,3234.2165037099862,اسباب کشی با خاور و کامیون
(1403-06),2619.0,2496.58874048967,1591.7716514449453,3397.2953804848858,اسباب کشی با خاور و کامیون
(1403-07),1757.0,1848.0661238287516,973.8819293517504,2721.6687814778584,اسباب کشی با خاور و کامیون
(1403-08),1613.0,1738.2901511273312,867.2523318450948,2608.4497551286395,اسباب کشی با خاور و کامیون
(1403-09),1650.0,1774.1685763134205,898.6481919940192,2656.2579869429055,اسباب کشی با خاور و کامیون
(1403-10),2050.0,1906.974865015612,1029.3517474685025,2775.6082003765187,اسباب کشی با خاور و کامیون
(1403-11),2242.0,1972.7185941706664,1092.3423327331916,2851.661043549865,اسباب کشی با خاور و کامیون
(1403-12),2369.0,2006.4433682026065,1125.1679774497072,2873.4685088322512,اسباب کشی با خاور و کامیون
(1404-01),969.0,1356.904756489993,451.0562626425523,2256.0695728071632,اسباب کشی با خاور و کامیون
(1404-02),2184.0,2202.9268082181798,1291.2243729008296,3102.9428855188003,اسباب کشی با خاور و کامیون
(1404-03),3119.0,3058.884856051305,2157.394182891661,3966.1434256020625,اسباب کشی با خاور و کامیون
(1404-04),3147.0,3400.4413465201305,2502.485798219781,4300.603839631519,اسباب کشی با خاور و کامیون
(1404-05),3173.0,3215.3917299059876,2311.496105503664,4118.237257580736,اسباب کشی با خاور و کامیون
(1404-06),3424.0,3182.9070665788054,2274.272243135151,4078.1938991258003,اسباب کشی با خاور و کامیون
(1404-07),2552.0,2611.847334415653,1728.2918595480783,3497.543466682666,اسباب کشی با خاور و کامیون
(1404-08),2649.0,2590.6727670124064,1713.3337224244535,3465.3016475007016,اسباب کشی با خاور و کامیون
(1404-09),0.0,2434.607438697502,1553.5331568931917,3318.7654222744854,اسباب کشی با خاور و کامیون
(1404-10),0.0,2691.1456973407953,1801.5373165102517,3563.7608975963412,اسباب کشی با خاور و کامیون
(1404-11),0.0,2776.6913956478948,1906.8146775052255,3654.6745697910187,اسباب کشی با خاور و کامیون
(1404-12),0.0,2702.596826191879,1855.819506509915,3552.960374824005,اسباب کشی با خاور و کامیون
(1405-01),0.0,2088.326576063507,1185.2525290517628,2987.9472165411526,اسباب کشی با خاور و کامیون
(1405-02),0.0,3024.8120396917584,2125.0913513847863,3932.87315790538,اسباب کشی با خاور و کامیون
(1405-03),0.0,3796.4418136432178,2897.834772531633,4698.279045054157,اسباب کشی با خاور و کامیون
(1405-04),0.0,4198.34081090967,3288.9134345582083,5103.665352297634,اسباب کشی با خاور و کامیون
(1405-05),0.0,3997.3934452912135,3086.314420482275,4901.633314691148,اسباب کشی با خاور و کامیون
(1405-06),0.0,3977.241475092204,3077.45814776411,4877.705000946712,اسباب کشی با خاور و کامیون
(1405-07),0.0,3418.8479514524256,2537.4695429595768,4292.8309688473355,اسباب کشی با خاور و کامیون
(1405-08),0.0,3308.1833351702107,2413.9562922591713,4180.373228787847,اسباب کشی با خاور و کامیون
(1401-01),219.0,252.20170411728978,60.07905026844066,441.94335834762705,اصلاح صورت و ابرو بانوان
(1401-02),255.0,265.5213796545424,74.77343822893674,455.96079302156704,اصلاح صورت و ابرو بانوان
(1401-03),281.0,260.9404792643845,72.77745128003636,450.3477298755546,اصلاح صورت و ابرو بانوان
