shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category
(1404-05),0.0,3622.3679508131568,2827.9054631040294,4435.279797993325,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-06),0.0,3530.1165115313247,2730.319861932853,4330.877430887407,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-07),0.0,3017.4038368843508,2233.134201895639,3796.875835385053,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-08),0.0,3029.7926970911635,2248.5321565085533,3811.181407239458,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-09),0.0,2876.797989755244,2089.293516318708,3660.6066159757934,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-10),0.0,3172.320960729969,2399.1095356953565,3970.939552337653,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-11),0.0,3278.570071227873,2496.048264880634,4066.073303835141,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-12),0.0,3224.217153439923,2466.0229253949096,4004.335410332793,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-01),219.0,253.5969850418101,53.11111258652915,452.55809397023086,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-02),255.0,264.828219164364,65.96851050679335,461.418644291601,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-03),281.0,263.56809494482405,65.93168635359972,460.6429784902229,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-04),273.0,285.4811132674652,87.26878572637017,481.9947340195173,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-05),279.0,241.8802031318449,45.71140603218152,438.5351706192803,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-06),208.0,217.00679005824887,17.81428913649806,416.327349432641,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-07),228.0,219.38910780488183,28.110862491780992,412.87038291780846,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-08),213.0,198.54987259516767,7.622072040483873,388.9288829670439,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-09),165.0,191.2009397048144,-0.268881980471638,382.7164495001861,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-10),215.0,191.82484877382987,-0.6347525389453013,384.980884712392,اصلاح صورت و ابرو بانوان,زیبایی بانوان
