shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category
(1401-11),245.0,206.64344010150572,72.42581647132123,341.3781155156294,امداد خودرو,خدمات و تعمیرات خودرو
(1401-12),187.0,205.7984731270272,76.51255418654357,335.46792716687264,امداد خودرو,خدمات و تعمیرات خودرو
(1402-01),202.0,163.01794546321875,24.453505898867576,299.60471326462226,امداد خودرو,خدمات و تعمیرات خودرو
(1402-02),114.0,154.32888972184077,20.562279034955488,287.03873921841125,امداد خودرو,خدمات و تعمیرات خودرو
(1402-03),152.0,191.06241096632405,62.16642512921796,320.6305254048938,امداد خودرو,خدمات و تعمیرات خودرو
(1402-04),243.0,240.8560915790845,101.54074726278697,378.4620956701043,امداد خودرو,خدمات و تعمیرات خودرو
(1402-05),232.0,263.7961742205594,124.3979966639101,402.25018374051626,امداد خودرو,خدمات و تعمیرات خودرو
(1402-06),198.0,228.15600096172264,89.46780988499724,366.3491695214553,امداد خودرو,خدمات و تعمیرات خودرو
(1402-07),151.0,157.71325474404358,24.078923196539023,291.8187789447818,امداد خودرو,خدمات و تعمیرات خودرو
(1402-08),140.0,141.42991448726755,7.30985468091536,276.58536874695807,امداد خودرو,خدمات و تعمیرات خودرو
(1402-09),133.0,136.8006066326579,7.84651781100038,266.07787809345285,امداد خودرو,خدمات و تعمیرات خودرو
(1402-10),143.0,154.19542013070796,23.618692174363225,283.5443531226477,امداد خودرو,خدمات و تعمیرات خودرو
(1402-11),147.0,161.06476365609703,26.53526522724465,294.10584866043246,امداد خودرو,خدمات و تعمیرات خودرو
(1402-12),174.0,162.59425636118655,36.484602779813365,286.3357732865427,امداد خودرو,خدمات و تعمیرات خودرو
(1403-01),145.0,128.09262008616253,-5.927872439812239,262.8979222083255,امداد خودرو,خدمات و تعمیرات خودرو
(1403-02),141.0,131.7944347197375,-5.892606673616506,269.9273497560855,امداد خودرو,خدمات و تعمیرات خودرو
(1403-03),166.0,179.51508920156394,45.1875131041889,313.8062573362227,امداد خودرو,خدمات و تعمیرات خودرو
(1403-04),237.0,228.396897321662,88.06511168217777,368.617099672422,امداد خودرو,خدمات و تعمیرات خودرو
(1403-05),263.0,258.5018509812439,118.8270761257155,397.0544656922464,امداد خودرو,خدمات و تعمیرات خودرو
(1403-06),241.0,230.58081278608776,90.7861224354396,368.55753706288937,امداد خودرو,خدمات و تعمیرات خودرو
(1403-07),176.0,163.83188990344203,29.965046507173277,296.5671257454885,امداد خودرو,خدمات و تعمیرات خودرو
(1403-08),138.0,151.75826842107966,17.577159288868522,285.76589319140413,امداد خودرو,خدمات و تعمیرات خودرو
(1403-09),121.0,147.20593878807924,22.49216264744414,272.1833081430641,امداد خودرو,خدمات و تعمیرات خودرو
(1403-10),134.0,175.48494862724226,39.48673826862227,307.9499841847807,امداد خودرو,خدمات و تعمیرات خودرو
(1403-11),149.0,181.33192165779136,48.522534257728495,315.6234362185796,امداد خودرو,خدمات و تعمیرات خودرو
(1403-12),222.0,196.84378704066827,62.57945183311054,329.4009324467341,امداد خودرو,خدمات و تعمیرات خودرو
(1404-01),137.0,158.25239989927115,18.79280513681791,295.63224947949124,امداد خودرو,خدمات و تعمیرات خودرو
(1404-02),213.0,161.5963683891266,22.42690043180825,300.0017121937433,امداد خودرو,خدمات و تعمیرات خودرو
(1404-03),299.0,213.03266244963453,78.55688420496861,348.3097403456133,امداد خودرو,خدمات و تعمیرات خودرو
(1404-04),176.0,249.21216104782908,120.71617196216992,378.1054610336405,امداد خودرو,خدمات و تعمیرات خودرو
(1404-05),240.0,298.5031734638063,160.14196778789616,436.40918686721807,امداد خودرو,خدمات و تعمیرات خودرو
(1404-06),290.0,271.36467343009355,132.72273387314104,410.3462467866415,امداد خودرو,خدمات و تعمیرات خودرو
(1404-07),226.0,206.6820133044758,73.18961515908353,341.5100433180222,امداد خودرو,خدمات و تعمیرات خودرو
(1404-08),237.0,199.33426701912575,64.76614389696783,333.2105241608085,امداد خودرو,خدمات و تعمیرات خودرو
(1404-09),0.0,205.15999952501497,72.35796873087075,339.12549602464446,امداد خودرو,خدمات و تعمیرات خودرو
(1404-10),0.0,224.7944977682918,90.06241876824254,358.2045489649116,امداد خودرو,خدمات و تعمیرات خودرو
(1404-11),0.0,230.7501775887676,97.12256069389798,364.6722323566132,امداد خودرو,خدمات و تعمیرات خودرو
(1404-12),0.0,240.25381290248973,111.75883450625172,371.30452061896,امداد خودرو,خدمات و تعمیرات خودرو
(1405-01),0.0,208.913659635791,69.33288359662927,347.65185787022006,امداد خودرو,خدمات و تعمیرات خودرو
(1405-02),0.0,212.76192077993232,73.59177428447215,351.22829658016906,امداد خودرو,خدمات و تعمیرات خودرو
(1405-03),0.0,272.77665215479925,134.23397756301011,410.9439100543471,امداد خودرو,خدمات و تعمیرات خودرو
(1405-04),0.0,314.99650064708896,176.18198281271702,452.5100486137484,امداد خودرو,خدمات و تعمیرات خودرو
(1405-05),0.0,350.95690110467274,211.7784714988698,489.8787837023417,امداد خودرو,خدمات و تعمیرات خودرو
(1405-06),0.0,322.4181419036799,185.21559387776685,460.4067100044566,امداد خودرو,خدمات و تعمیرات خودرو
(1405-07),0.0,256.6280894609005,123.7881568927282,393.2720681488692,امداد خودرو,خدمات و تعمیرات خودرو
(1405-08),0.0,249.66419983320293,114.74617824441596,385.2703291383176,امداد خودرو,خدمات و تعمیرات خودرو
(1401-01),199.0,213.500442696884,114.96559210695044,311.88751622145907,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-02),258.0,225.03157602989128,126.3212166524253,322.6961208213032,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-03),236.0,218.3875965147768,119.72549827087138,315.8633090175908,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-04),202.0,221.39457692923955,123.20120983361574,320.61147992725085,اپیلاسیون بانوان در خانه,زیبایی بانوان
