shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1401-04),299.0,299.20404156236896,70.07375418296074,533.6407214231423,باغبانی و فضای سبز
(1401-05),253.0,298.85750940874243,67.05163254387415,528.6085508727657,باغبانی و فضای سبز
(1401-06),307.0,277.66638218811283,45.72678921472974,508.4636131448291,باغبانی و فضای سبز
(1401-07),218.0,213.25861203161537,-9.936841214438566,439.49044926120973,باغبانی و فضای سبز
(1401-08),234.0,199.18670347777137,-26.523032159134218,426.73489751755267,باغبانی و فضای سبز
(1401-09),240.0,197.9350729640242,-27.20174560539263,423.46256978282474,باغبانی و فضای سبز
(1401-10),282.0,263.2540614643661,38.06521337622527,485.13642865483496,باغبانی و فضای سبز
(1401-11),325.0,325.0711519887968,99.35007617078125,545.066112466613,باغبانی و فضای سبز
(1401-12),843.0,747.4998000798562,531.0330222043328,964.2472669967061,باغبانی و فضای سبز
(1402-01),460.0,504.4255915906723,274.66833124457986,736.6160759418366,باغبانی و فضای سبز
(1402-02),412.0,432.2087731372559,197.7647359181117,665.5956894676985,باغبانی و فضای سبز
(1402-03),314.0,344.6237555533143,113.45789727076692,577.8003421040057,باغبانی و فضای سبز
(1402-04),369.0,354.33343238228974,123.08108580327816,585.5963660111224,باغبانی و فضای سبز
(1402-05),345.0,351.79290636516396,120.98121650807568,585.9992170630511,باغبانی و فضای سبز
(1402-06),260.0,322.2445041666748,97.60264154543488,546.6236776169775,باغبانی و فضای سبز
(1402-07),239.0,259.59458643577085,33.24344694936949,482.3674270457231,باغبانی و فضای سبز
(1402-08),264.0,246.5247327528444,21.282899630000642,470.7313375562288,باغبانی و فضای سبز
(1402-09),240.0,248.44441340916956,23.875081119277695,472.2774939050963,باغبانی و فضای سبز
(1402-10),318.0,312.7650992091394,89.20745147344891,537.2945733829055,باغبانی و فضای سبز
(1402-11),359.0,378.32307675456315,153.82469351984287,602.0115451485777,باغبانی و فضای سبز
(1402-12),689.0,799.7492432201437,583.3067378849441,1014.2028599162354,باغبانی و فضای سبز
(1403-01),518.0,569.0187327788051,337.00167588996425,802.0201058425287,باغبانی و فضای سبز
(1403-02),512.0,494.49838689487166,263.4355647532868,727.3228348437292,باغبانی و فضای سبز
(1403-03),512.0,413.0904833044553,182.91353840241985,644.8679648418953,باغبانی و فضای سبز
(1403-04),453.0,421.4751068601909,193.398351171612,652.078954451187,باغبانی و فضای سبز
(1403-05),461.0,421.2021423428733,189.50354745594953,656.1803309417975,باغبانی و فضای سبز
(1403-06),438.0,403.7027663672907,172.80814723940412,634.6664047312984,باغبانی و فضای سبز
(1403-07),324.0,327.9165964704743,107.62532415140922,552.7639360998453,باغبانی و فضای سبز
(1403-08),270.0,311.36349201360895,85.63549435619589,536.6755398537016,باغبانی و فضای سبز
(1403-09),277.0,313.7201639674919,87.73514126854018,537.6891965653397,باغبانی و فضای سبز
(1403-10),365.0,370.2756403749781,146.67478340932658,594.0055655892115,باغبانی و فضای سبز
(1403-11),466.0,432.50703435007796,205.95675535040414,657.6870908831546,باغبانی و فضای سبز
(1403-12),1079.0,874.9311464565642,652.1120775678934,1100.1104298041023,باغبانی و فضای سبز
(1404-01),569.0,616.3400417339437,385.28953690392825,849.851138578692,باغبانی و فضای سبز
(1404-02),519.0,535.4961456021258,307.00742778899007,765.4448361305733,باغبانی و فضای سبز
(1404-03),349.0,430.4930609056494,216.7038085294258,647.3068689345307,باغبانی و فضای سبز
(1404-04),371.0,445.65778956108215,220.92775149721058,672.3594637854799,باغبانی و فضای سبز
(1404-05),485.0,460.30971662716,229.22835179823744,695.4271249853082,باغبانی و فضای سبز
(1404-06),438.0,432.299161252877,200.39185989793884,661.5891183308564,باغبانی و فضای سبز
(1404-07),440.0,356.2714828570332,132.47053045359584,577.3156537241949,باغبانی و فضای سبز
(1404-08),357.0,346.62752295865994,122.17377066118071,575.165413666417,باغبانی و فضای سبز
(1404-09),0.0,342.5455067279892,121.44234922207004,565.1514015503385,باغبانی و فضای سبز
(1404-10),0.0,400.30613007419635,177.38916244837637,624.022924663293,باغبانی و فضای سبز
(1404-11),0.0,466.5241428638913,241.25067341420356,688.8143769596521,باغبانی و فضای سبز
(1404-12),0.0,885.5995106111546,670.2132783656334,1103.4345298210014,باغبانی و فضای سبز
(1405-01),0.0,645.3239055816842,413.4325966565534,876.5525706635609,باغبانی و فضای سبز
(1405-02),0.0,568.9505502180161,339.38714845090095,802.6638151393572,باغبانی و فضای سبز
(1405-03),0.0,486.5671864593264,254.311419482997,720.6533375479903,باغبانی و فضای سبز
(1405-04),0.0,487.6573856322229,254.1839808677514,721.5856587853054,باغبانی و فضای سبز
(1405-05),0.0,491.5486166826065,261.2723726066362,722.379928491111,باغبانی و فضای سبز
(1405-06),0.0,463.18545546483966,230.8661494944815,696.5564612676665,باغبانی و فضای سبز
(1401-01),3035.0,2865.04216435569,1490.61052322188,4247.10281711464,برقکاری
(1401-02),3430.0,3963.449509084115,2590.8727434386888,5375.0370444334885,برقکاری
(1401-03),4548.0,4517.416200167604,3138.8650321189175,5884.594926320224,برقکاری
(1401-04),5523.0,5339.255858096802,3969.248914117506,6724.025191461211,برقکاری
(1401-05),5735.0,5852.553878363959,4465.915718092009,7247.22567894248,برقکاری
(1401-06),4500.0,4493.4818277157365,3116.5167126956458,5866.206241203107,برقکاری
(1401-07),3615.0,3837.3880325236537,2500.3700203837366,5160.066790165242,برقکاری
(1401-08),4155.0,3839.7460331538014,2519.2157272350237,5162.069517410585,برقکاری
(1401-09),4145.0,3857.488973407453,2539.818936664802,5175.3902352457835,برقکاری
(1401-10),4539.0,4002.3419698638763,2673.957898529484,5324.648245483366,برقکاری
(1401-11),4729.0,4198.269830111221,2875.319228217165,5523.318529800156,برقکاری
(1401-12),4504.0,4951.357425566089,3660.870077729264,6225.789838515188,برقکاری
(1402-01),3502.0,3440.808782056035,2069.1822080407037,4811.87119872605,برقکاری
(1402-02),3959.0,4512.192378590107,3132.9575103661473,5874.965117126832,برقکاری
(1402-03),5051.0,5075.373946175224,3687.1540574816813,6454.940938569931,برقکاری
(1402-04),6066.0,5907.531046994713,4516.908849852245,7277.909348855614,برقکاری
(1402-05),5576.0,6469.342389662335,5100.835713076449,7847.606054818699,برقکاری
(1402-06),5361.0,5170.697112038132,3811.9858455442973,6534.039723113149,برقکاری
(1402-07),5079.0,4601.882208791313,3284.795613762597,5929.994494059144,برقکاری
(1402-08),4774.0,4687.6533210305415,3337.096047368095,6020.391254195647,برقکاری
(1402-09),4757.0,4854.8709391835155,3527.2807562228936,6174.339200615798,برقکاری
(1402-10),4807.0,5121.829469342154,3786.775061020752,6454.323053065886,برقکاری
(1402-11),5153.0,5505.437162092811,4187.5546204438,6833.593440408545,برقکاری
(1402-12),6322.0,6403.499102390542,5123.090835982665,7679.386152782891,برقکاری
(1403-01),4570.0,5190.388003862646,3805.9287742396473,6568.06260785438,برقکاری
(1403-02),6219.0,6488.820823015646,5117.980838008697,7865.581184188924,برقکاری
(1403-03),7774.0,7278.375840927378,5896.67260963622,8618.453381758576,برقکاری
(1403-04),8799.0,8261.652847247806,6898.911113202697,9635.08132003583,برقکاری
(1403-05),10158.0,8986.078540872264,7610.900584983063,10383.87608451271,برقکاری
(1403-06),7465.0,7758.86368045451,6384.218234187292,9130.76299621531,برقکاری
(1403-07),6867.0,7078.365362012436,5752.867478004681,8391.627705166522,برقکاری
(1403-08),6757.0,7107.733551037329,5794.581279249534,8441.648722847776,برقکاری
(1403-09),7058.0,7195.083156544755,5880.712345266031,8537.815729623731,برقکاری
(1403-10),7183.0,7354.52155115508,6026.382269044955,8695.9245569091,برقکاری
(1403-11),7442.0,7528.297395838508,6211.673284803591,8847.222517684522,برقکاری
(1403-12),9594.0,8429.217177693921,7097.573899844559,9767.913790749117,برقکاری
(1404-01),6582.0,6864.725930807577,5489.281481697993,8219.224184227485,برقکاری
(1404-02),9099.0,7940.563830119916,6564.773844664094,9313.297803997057,برقکاری
(1404-03),7929.0,8480.406021548204,7108.790737363482,9849.950920660222,برقکاری
(1404-04),8380.0,9316.865802020287,7938.017327867442,10716.353897408517,برقکاری
(1404-05),9739.0,9770.141682108126,8393.250379507925,11147.833909913465,برقکاری
(1404-06),8455.0,8416.419516925725,7039.6841670951035,9779.501146724899,برقکاری
