shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1401-07),55.0,57.37218098658428,-6.3084221623057015,121.47772035296371,پیرایش و زیبایی آقایان
(1401-08),53.0,55.72678839006406,-8.398472403697212,120.91721047863919,پیرایش و زیبایی آقایان
(1401-09),66.0,54.08315020360441,-10.18280848443333,118.0241186756617,پیرایش و زیبایی آقایان
(1401-10),69.0,61.00574210659545,-0.8132727468672691,123.8851180511803,پیرایش و زیبایی آقایان
(1401-11),56.0,69.72033954414806,5.664187623948551,134.13971242227933,پیرایش و زیبایی آقایان
(1401-12),92.0,102.44896188611068,40.859616007189665,163.74914127989027,پیرایش و زیبایی آقایان
(1402-01),59.0,72.70479704782154,6.189561739709619,138.88303485406254,پیرایش و زیبایی آقایان
(1402-02),64.0,67.48996573620217,8.15623079329377,127.47021048811658,پیرایش و زیبایی آقایان
(1402-03),70.0,80.32684802691743,14.77052551576104,146.39690312962588,پیرایش و زیبایی آقایان
(1402-04),84.0,81.18609805572278,15.364760960344684,147.28857019222826,پیرایش و زیبایی آقایان
(1402-05),90.0,85.389548133757,19.13073844965068,150.75461820270874,پیرایش و زیبایی آقایان
(1402-06),68.0,76.30387839318695,12.22248547842638,140.4457898803181,پیرایش و زیبایی آقایان
(1402-07),66.0,62.874354097320285,-1.214343519013355,127.06417687270928,پیرایش و زیبایی آقایان
(1402-08),59.0,60.04920824606506,-0.33041271291423074,122.68982459796497,پیرایش و زیبایی آقایان
(1402-09),74.0,60.91618541323171,-3.568785804135834,124.2428117874709,پیرایش و زیبایی آقایان
(1402-10),68.0,68.30904302263458,4.229218705897326,132.83931442430043,پیرایش و زیبایی آقایان
(1402-11),89.0,75.93303835832316,13.112169391170871,140.16717235077036,پیرایش و زیبایی آقایان
(1402-12),113.0,108.16756306767121,46.66516477665566,170.7816673884152,پیرایش و زیبایی آقایان
(1403-01),81.0,80.24919414586246,14.412164142779579,146.64618244945012,پیرایش و زیبایی آقایان
(1403-02),83.0,79.41286983776095,13.592839151651862,145.80009953443687,پیرایش و زیبایی آقایان
(1403-03),87.0,87.23436473311452,21.04239843464859,153.59513030553953,پیرایش و زیبایی آقایان
(1403-04),86.0,84.21749354517226,20.16447318717808,148.41456616590537,پیرایش و زیبایی آقایان
(1403-05),103.0,91.73336788773625,25.546512523817142,157.95811579960764,پیرایش و زیبایی آقایان
(1403-06),86.0,84.30507026293401,17.846501363558186,149.91355762383262,پیرایش و زیبایی آقایان
(1403-07),62.0,68.90976564828964,5.122943620814505,132.56176975710048,پیرایش و زیبایی آقایان
(1403-08),71.0,67.78310159971478,4.339421471824056,131.5289157675747,پیرایش و زیبایی آقایان
(1403-09),44.0,63.32430082061168,3.760795398437628,122.84751818046207,پیرایش و زیبایی آقایان
(1403-10),63.0,70.85932676365788,8.920963188738174,132.95515506109604,پیرایش و زیبایی آقایان
(1403-11),82.0,78.9576576744771,16.78786823956729,140.69177955984938,پیرایش و زیبایی آقایان
(1403-12),146.0,117.75278038395527,53.552084702775794,181.38761316018068,پیرایش و زیبایی آقایان
(1404-01),84.0,84.39036136763325,19.081431345745035,151.20672350665083,پیرایش و زیبایی آقایان
(1404-02),80.0,85.58552870034508,19.582205730009445,152.2535919029663,پیرایش و زیبایی آقایان
(1404-03),83.0,85.36646889122859,25.13990632674164,145.44156295231952,پیرایش و زیبایی آقایان
(1404-04),80.0,92.0166795395692,25.461496184165043,157.52240260418256,پیرایش و زیبایی آقایان
(1404-05),89.0,98.75964869565712,32.090085850101126,164.66305477560215,پیرایش و زیبایی آقایان
(1404-06),96.0,88.68511916755612,22.2575124734968,154.97228789901757,پیرایش و زیبایی آقایان
(1404-07),97.0,74.24981313807338,11.373171738039359,138.46293369663664,پیرایش و زیبایی آقایان
(1404-08),109.0,74.77935675295865,11.003890522546119,139.22332115148055,پیرایش و زیبایی آقایان
(1404-09),0.0,71.40694825296978,7.534476551097484,135.39139904843233,پیرایش و زیبایی آقایان
(1404-10),0.0,78.99386929991644,15.35547969536079,143.72297188812007,پیرایش و زیبایی آقایان
(1404-11),0.0,87.98510276887792,23.471058988010075,151.59843466829363,پیرایش و زیبایی آقایان
(1404-12),0.0,120.3810346270841,58.426893434503654,180.98484573874774,پیرایش و زیبایی آقایان
(1405-01),0.0,89.58274101799232,23.69646729000505,155.68468229563115,پیرایش و زیبایی آقایان
(1405-02),0.0,91.84754670725843,25.222400045117343,158.3563650489092,پیرایش و زیبایی آقایان
(1405-03),0.0,98.73074900210415,33.632283280458324,164.63364584031595,پیرایش و زیبایی آقایان
(1405-04),0.0,97.81991169108792,31.89993686644837,164.95376486595075,پیرایش و زیبایی آقایان
(1405-05),0.0,104.37899773769522,38.191317011925925,170.08471967815612,پیرایش و زیبایی آقایان
(1405-06),0.0,94.50534432073032,28.93243999268035,161.07239603261712,پیرایش و زیبایی آقایان
(1401-01),614.0,468.9101206306615,2.1801335118757397,937.5088024132672,چوب و کابینت
(1401-02),765.0,794.2405364783527,324.1448942991636,1266.4357562651612,چوب و کابینت
(1401-03),834.0,814.0115101895617,341.4941733378707,1285.2103087632365,چوب و کابینت
(1401-04),986.0,881.0302936273001,406.74071099765763,1349.926654607524,چوب و کابینت
(1401-05),1088.0,1208.927347277532,738.6429152217192,1678.6640244766825,چوب و کابینت
(1401-06),1061.0,1083.000331135366,613.9803005230095,1552.0477270515548,چوب و کابینت
(1401-07),761.0,881.6796731708279,433.0294315549956,1336.7294878612715,چوب و کابینت
(1401-08),838.0,815.094627403414,361.21588316604874,1270.8414180346372,چوب و کابینت
(1401-09),869.0,786.7192222903649,332.72340588849016,1243.2096263589767,چوب و کابینت
(1401-10),971.0,943.6882248688541,493.06077573606836,1398.4727549030185,چوب و کابینت
(1401-11),1034.0,1036.292145448865,581.6225828130654,1487.5104210678885,چوب و کابینت
(1401-12),968.0,1220.0637900745166,781.1804444944404,1657.8940928279255,چوب و کابینت
(1402-01),610.0,567.1858960714028,96.75484671489252,1035.1996646608677,چوب و کابینت
(1402-02),924.0,943.7294509802911,471.0308989206599,1415.5086245965535,چوب و کابینت
(1402-03),1129.0,1019.0727655896212,553.2054606915215,1488.4342358845665,چوب و کابینت
(1402-04),1365.0,1151.23990566031,681.9442509412653,1628.4966237261397,چوب و کابینت
(1402-05),1344.0,1528.3948501849545,1064.3234290135888,2002.8211985456396,چوب و کابینت
(1402-06),1351.0,1468.5718061949722,998.6065525526412,1940.8353062428694,چوب و کابینت
(1402-07),1370.0,1315.7874802076617,856.9522944136625,1770.9359055738341,چوب و کابینت
(1402-08),1379.0,1295.370441949222,841.9978960128537,1752.013935256935,چوب و کابینت
(1402-09),1369.0,1331.0498064279745,876.4300275132643,1787.12635791391,چوب و کابینت
(1402-10),1474.0,1536.415071436846,1081.5668137778634,1989.5782989874785,چوب و کابینت
