shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category,yhat_diff,yhat_low_diff,yhat_high_diff,min_diff_label
(1401-01),83.0,119.06158682928842,5.231814378902448,231.50623308827417,تزریق سرم در منزل,پزشکی و پرستاری,36.061586829288416,77.76818562109756,148.50623308827417,yhat_diff
(1401-02),75.0,98.54251279267882,-7.247599873709017,204.6167069963831,تزریق سرم در منزل,پزشکی و پرستاری,23.54251279267882,82.24759987370902,129.6167069963831,yhat_diff
(1401-03),124.0,143.75610641685574,23.25166208045969,263.6069827487888,تزریق سرم در منزل,پزشکی و پرستاری,19.756106416855744,100.74833791954032,139.60698274878882,yhat_diff
(1401-04),274.0,231.7182970049968,111.42493980670888,351.66690630832875,تزریق سرم در منزل,پزشکی و پرستاری,42.2817029950032,162.5750601932911,77.66690630832875,yhat_diff
(1401-05),365.0,282.58255832954296,169.49073518788148,395.52089420150446,تزریق سرم در منزل,پزشکی و پرستاری,82.41744167045704,195.50926481211852,30.52089420150446,yhat_high_diff
(1401-06),92.0,122.0666297738229,23.777509196997123,220.53895385677168,تزریق سرم در منزل,پزشکی و پرستاری,30.066629773822896,68.22249080300287,128.53895385677168,yhat_diff
(1401-07),95.0,125.64493717814082,28.57012062091908,224.87676659859264,تزریق سرم در منزل,پزشکی و پرستاری,30.64493717814082,66.42987937908092,129.87676659859264,yhat_diff
(1401-08),166.0,159.87648397057856,42.77102711858723,275.5270115812429,تزریق سرم در منزل,پزشکی و پرستاری,6.123516029421438,123.22897288141277,109.5270115812429,yhat_diff
(1401-09),112.0,110.62384172925306,2.1252190512590494,219.3238072425467,تزریق سرم در منزل,پزشکی و پرستاری,1.3761582707469415,109.87478094874095,107.3238072425467,yhat_diff
(1401-10),116.0,115.5039922043112,-1.3146890565183709,231.8028435121948,تزریق سرم در منزل,پزشکی و پرستاری,0.49600779568879716,117.31468905651838,115.80284351219481,yhat_diff
(1401-11),132.0,131.93885225652883,20.04539899068028,244.43460563146104,تزریق سرم در منزل,پزشکی و پرستاری,0.06114774347116736,111.95460100931972,112.43460563146104,yhat_diff
(1401-12),165.0,154.81678270604414,41.20499253206384,267.4348826013066,تزریق سرم در منزل,پزشکی و پرستاری,10.183217293955863,123.79500746793616,102.43488260130658,yhat_diff
(1402-01),152.0,137.69725951681923,21.78563568129128,254.1389153845416,تزریق سرم در منزل,پزشکی و پرستاری,14.30274048318077,130.21436431870873,102.1389153845416,yhat_diff
(1402-02),23.0,33.15413105866575,2.301080318511949,63.77864576942287,تزریق سرم در منزل,پزشکی و پرستاری,10.154131058665747,20.69891968148805,40.77864576942287,yhat_diff
