shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,yhat_diff,yhat_low_diff,yhat_high_diff,min_diff_label
(1402-08),263.0,264.73861552605285,118.2011342793524,411.7293414425163,آچار فرانسه,1.738615526052854,144.7988657206476,148.72934144251627,yhat_diff
(1402-09),261.0,268.54526499116,120.71588052359058,417.4076998291917,آچار فرانسه,7.545264991160025,140.28411947640942,156.4076998291917,yhat_diff
(1402-10),301.0,277.9109156258488,130.95050787850008,425.3000634795336,آچار فرانسه,23.089084374151184,170.04949212149992,124.3000634795336,yhat_diff
(1402-11),305.0,297.4855399174035,149.93022607869244,444.62272606965394,آچار فرانسه,7.514460082596486,155.06977392130756,139.62272606965394,yhat_diff
(1402-12),546.0,445.7018384890862,303.8537331107829,590.6307926699197,آچار فرانسه,100.29816151091381,242.1462668892171,44.63079266991974,yhat_high_diff
(1403-01),288.0,352.0903936233505,200.13177725377764,503.1737220781242,آچار فرانسه,64.09039362335051,87.86822274622236,215.17372207812417,yhat_diff
(1403-02),318.0,328.1153423655218,175.30441397570078,482.2451960676953,آچار فرانسه,10.115342365521826,142.69558602429922,164.2451960676953,yhat_diff
(1403-03),400.0,405.62335917763073,254.7687481269712,556.5677824213034,آچار فرانسه,5.623359177630732,145.2312518730288,156.56778242130338,yhat_diff
(1403-04),506.0,463.8892567022524,311.3021966181201,614.6563639380054,آچار فرانسه,42.110743297747604,194.6978033818799,108.65636393800537,yhat_diff
(1403-05),437.0,469.0654665724182,316.24434400091826,620.5986155272298,آچار فرانسه,32.06546657241819,120.75565599908174,183.59861552722975,yhat_diff
(1403-06),402.0,445.42544460978905,293.0349510672174,597.9157586726292,آچار فرانسه,43.425444609789054,108.96504893278262,195.91575867262918,yhat_diff
(1403-07),389.0,402.48190664521286,257.2632066994841,549.648081180105,آچار فرانسه,13.48190664521286,131.7367933005159,160.648081180105,yhat_diff
(1403-08),411.0,413.8449221368588,266.7164884625319,562.4538853885119,آچار فرانسه,2.844922136858827,144.2835115374681,151.45388538851194,yhat_diff
(1403-09),431.0,419.12667380067273,272.3343716588747,567.6652030303757,آچار فرانسه,11.873326199327266,158.66562834112528,136.66520303037566,yhat_diff
(1403-10),409.0,425.56873238067993,277.4551986148238,571.6337998636515,آچار فرانسه,16.568732380679933,131.54480138517619,162.63379986365146,yhat_diff
(1403-11),445.0,446.9406921089098,299.98942387997573,591.9954585270467,آچار فرانسه,1.9406921089097864,145.01057612002427,146.9954585270467,yhat_diff
(1403-12),651.0,608.7895289012828,460.5393991572013,754.7360125652011,آچار فرانسه,42.21047109871722,190.46060084279873,103.73601256520112,yhat_diff
(1404-01),357.0,503.86653245317126,351.79971803765187,658.1441325311916,آچار فرانسه,146.86653245317126,5.200281962348129,301.14413253119164,yhat_low_diff
(1404-02),600.0,481.87356102983887,329.51589967594447,634.9995550642649,آچار فرانسه,118.12643897016113,270.48410032405553,34.99955506426488,yhat_high_diff
(1404-03),604.0,563.555528483334,410.5151325617426,715.191683045224,آچار فرانسه,40.444471516666,193.48486743825742,111.19168304522395,yhat_diff
(1404-04),615.0,616.7912321755122,463.8577371816176,769.8803969564111,آچار فرانسه,1.7912321755121638,151.1422628183824,154.88039695641112,yhat_diff
(1404-05),898.0,625.637273542976,475.7310699437296,777.0982467282021,آچار فرانسه,272.362726457024,422.2689300562704,120.90175327179793,yhat_high_diff
(1404-06),801.0,596.0244246559988,442.6091559747823,748.724737414267,آچار فرانسه,204.9755753440012,358.3908440252177,52.275262585733,yhat_high_diff
(1404-07),699.0,552.0732738959625,405.6343301231192,700.545454007149,آچار فرانسه,146.92672610403747,293.3656698768808,1.5454540071490328,yhat_high_diff
(1404-08),764.0,565.3396468483417,417.7973874172383,714.1729905019705,آچار فرانسه,198.66035315165834,346.2026125827617,49.8270094980295,yhat_high_diff
(1404-09),0.0,567.1490345298579,420.1884879231313,714.7511562637825,آچار فرانسه,567.1490345298579,420.1884879231313,714.7511562637825,yhat_low_diff
(1404-10),0.0,574.9346209722324,427.6559330772871,724.7508768673955,آچار فرانسه,574.9346209722324,427.6559330772871,724.7508768673955,yhat_low_diff
(1404-11),0.0,597.8074622057668,452.13285035386366,743.6020916587466,آچار فرانسه,597.8074622057668,452.13285035386366,743.6020916587466,yhat_low_diff
