shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1404-11),0.0,10320.5936836196,8370.277837819773,12251.60529504118,باربری و جابجایی
(1404-12),0.0,10894.119725202616,8990.645524719414,12772.362435038081,باربری و جابجایی
(1405-01),0.0,8822.034240600238,6797.617122118964,10845.404224926253,باربری و جابجایی
(1405-02),0.0,11181.111644066481,9149.991462426307,13192.358239845504,باربری و جابجایی
(1405-03),0.0,13065.397381534141,11038.177193934931,15081.592884331252,باربری و جابجایی
(1405-04),0.0,14427.995849982139,12384.092406443478,16446.84250240147,باربری و جابجایی
(1405-05),0.0,14677.638671080227,12642.449402691755,16719.129466386526,باربری و جابجایی
(1405-06),0.0,14410.260676711227,12343.710425990728,16449.812634154656,باربری و جابجایی
(1401-01),412.0,442.52858493709624,210.76140152712554,675.2870195092431,باغبانی و فضای سبز
(1401-02),367.0,373.20982050260943,139.4531796478232,604.6710762718112,باغبانی و فضای سبز
(1401-03),299.0,287.3949174375221,55.992903413287,519.5867158344962,باغبانی و فضای سبز
(1401-04),299.0,297.73250542980344,66.50827416425982,528.5079093020006,باغبانی و فضای سبز
(1401-05),253.0,295.992319097331,64.90804601909869,526.2034975822523,باغبانی و فضای سبز
(1401-06),307.0,273.43391902805627,42.541863265522615,505.11261257045305,باغبانی و فضای سبز
(1401-07),218.0,211.46862602871383,-12.400282239160632,436.3848801234151,باغبانی و فضای سبز
(1401-08),234.0,197.1451141134924,-26.1688457414143,422.9169870626094,باغبانی و فضای سبز
(1401-09),240.0,196.05838134232596,-28.265205537086608,418.1233341630065,باغبانی و فضای سبز
(1401-10),282.0,261.96341225704634,36.37016505923128,487.17197263297635,باغبانی و فضای سبز
(1401-11),325.0,324.3065422686388,98.8031801466523,547.3450929777915,باغبانی و فضای سبز
(1401-12),843.0,747.1575498938201,531.1692380260175,962.4492645933277,باغبانی و فضای سبز
(1402-01),460.0,504.40604656546185,272.6583569719811,735.9584454205151,باغبانی و فضای سبز
(1402-02),412.0,433.0690719408472,201.63142452757057,666.7835674666295,باغبانی و فضای سبز
(1402-03),314.0,346.36211967500697,115.04078186636059,579.5458909734958,باغبانی و فضای سبز
(1402-04),369.0,356.7985926387774,126.02712615066856,589.5392908995301,باغبانی و فضای سبز
(1402-05),345.0,354.81146269342105,123.01808292510003,584.0051161902004,باغبانی و فضای سبز
(1402-06),260.0,325.5688885892557,103.01970651424793,551.6252165045231,باغبانی و فضای سبز
(1402-07),239.0,266.2980443750022,41.15896263420994,488.60745678516685,باغبانی و فضای سبز
(1402-08),264.0,252.62624884231056,27.531161660781414,475.3067522852107,باغبانی و فضای سبز
(1402-09),240.0,253.1499460212511,28.05790720275361,476.8567202482638,باغبانی و فضای سبز
(1402-10),318.0,315.633366239488,93.7419054290986,542.7833042141623,باغبانی و فضای سبز
(1402-11),359.0,379.1030569777083,154.18338256912998,603.0564712927463,باغبانی و فضای سبز
(1402-12),689.0,798.3813522046116,582.3908950555153,1016.6155087160832,باغبانی و فضای سبز
(1403-01),518.0,565.1501970024077,334.36427190432585,796.9924786153101,باغبانی و فضای سبز
(1403-02),512.0,488.7146099475997,256.71268446969776,718.6787631011648,باغبانی و فضای سبز
(1403-03),512.0,405.56529586412586,173.72744709891808,637.1428089474435,باغبانی و فضای سبز
(1403-04),453.0,412.0841747055126,181.2062839339724,640.5944031815475,باغبانی و فضای سبز
(1403-05),461.0,410.3415529508199,179.3581973188481,639.1114863019594,باغبانی و فضای سبز
(1403-06),438.0,392.6900069990195,162.4489409291522,624.5891287034788,باغبانی و فضای سبز
(1403-07),324.0,321.87289199691605,96.5031745053271,545.4547594013801,باغبانی و فضای سبز
