shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service
(1403-11),445.0,446.9406921089098,299.8402810973172,596.8503166207043,آچار فرانسه
(1403-12),651.0,608.7895289012828,461.2501053227826,756.7769477729593,آچار فرانسه
(1404-01),0.0,503.86653245317126,350.899488855403,655.2321151373401,آچار فرانسه
(1404-02),0.0,481.87356102983887,332.47088546752144,634.0903829872665,آچار فرانسه
(1404-03),0.0,563.555528483334,410.6175390923168,716.8514274423891,آچار فرانسه
(1404-04),0.0,616.7912321755122,464.19012680073206,767.0979577516666,آچار فرانسه
(1404-05),0.0,625.637273542976,474.332010161638,778.2311083716097,آچار فرانسه
(1404-06),0.0,596.0244246559988,444.43645877482066,748.0002184334687,آچار فرانسه
(1404-07),0.0,552.0732738959625,404.79622846426446,700.4912834922025,آچار فرانسه
(1404-08),0.0,565.3396468483417,417.6588092321241,712.6418233738756,آچار فرانسه
(1404-09),0.0,567.1490345298579,420.30417282520284,715.4180427969287,آچار فرانسه
(1404-10),0.0,574.9346209722324,428.0741090235516,721.1793966080218,آچار فرانسه
(1404-11),0.0,597.8074622057668,451.654145122286,745.3238066879962,آچار فرانسه
(1404-12),0.0,736.6890564807659,592.8548812741833,880.2357553926449,آچار فرانسه
(1401-01),739.0,766.0845815791005,-30.645664814634106,1574.2060031235665,اسباب کشی با خاور و کامیون
(1401-02),1347.0,1494.3495743717099,693.1359715420579,2292.2472737012054,اسباب کشی با خاور و کامیون
(1401-03),2237.0,2074.4741706142977,1262.9645692835854,2864.0156707303177,اسباب کشی با خاور و کامیون
(1401-04),3103.0,2605.787180781895,1803.8273485253217,3411.2166360071265,اسباب کشی با خاور و کامیون
(1401-05),1779.0,2065.8448692111465,1246.6037295215265,2861.7799533504162,اسباب کشی با خاور و کامیون
(1401-06),1831.0,1983.554722602735,1177.2883968478914,2777.567738628123,اسباب کشی با خاور و کامیون
(1401-07),1293.0,1387.7681639143032,615.2133411388727,2165.418895270289,اسباب کشی با خاور و کامیون
(1401-08),1200.0,1143.45734255985,370.11707824037416,1914.6578894806598,اسباب کشی با خاور و کامیون
(1401-09),1182.0,963.9743434638583,183.2613223356487,1735.018090266605,اسباب کشی با خاور و کامیون
(1401-10),1416.0,1205.3415289961754,435.86022162902566,1980.0767439152178,اسباب کشی با خاور و کامیون
(1401-11),947.0,1059.9556754299947,282.45398695653967,1840.6758178581053,اسباب کشی با خاور و کامیون
(1401-12),758.0,959.969027344423,202.3268377854486,1716.0084093540331,اسباب کشی با خاور و کامیون
(1402-01),395.0,414.32730982903865,-385.98307150460124,1216.000672316574,اسباب کشی با خاور و کامیون
(1402-02),1066.0,1076.1471045564672,272.53482257117236,1881.77816483239,اسباب کشی با خاور و کامیون
(1402-03),1450.0,1734.556708790478,927.6230594010744,2537.49556452779,اسباب کشی با خاور و کامیون
(1402-04),2308.0,2304.255013843385,1496.8778699989673,3109.1919377279496,اسباب کشی با خاور و کامیون
(1402-05),1890.0,1829.0361964623,1025.192063220898,2628.432510998428,اسباب کشی با خاور و کامیون
(1402-06),1963.0,1845.4008520024354,1033.9273605596477,2652.776843979134,اسباب کشی با خاور و کامیون
(1402-07),1281.0,1209.6129330410852,423.3836645825499,1980.9703176055077,اسباب کشی با خاور و کامیون
(1402-08),1199.0,1072.2832626643317,295.21609820494484,1850.03696850558,اسباب کشی با خاور و کامیون
(1402-09),976.0,976.1133812121352,197.68607273000126,1752.6091897703423,اسباب کشی با خاور و کامیون
(1402-10),968.0,1193.9555247156734,418.97076227353097,1975.2003350977352,اسباب کشی با خاور و کامیون
(1402-11),1152.0,1159.433111936388,383.38205500375284,1930.1206004026162,اسباب کشی با خاور و کامیون
(1402-12),1206.0,1126.6308992453462,372.87146585764077,1878.8251389469926,اسباب کشی با خاور و کامیون
(1403-01),595.0,705.0382084537003,-97.67185308288158,1517.375246925373,اسباب کشی با خاور و کامیون
(1403-02),1492.0,1339.026585867311,549.4458153836825,2133.473268689879,اسباب کشی با خاور و کامیون
(1403-03),2165.0,2156.2042473008237,1347.4781826359342,2951.1507985449307,اسباب کشی با خاور و کامیون
(1403-04),2419.0,2721.7452943502567,1923.9559803384504,3519.2648851138924,اسباب کشی با خاور و کامیون
(1403-05),2498.0,2364.2571519405183,1562.5971940908105,3168.778644769683,اسباب کشی با خاور و کامیون
(1403-06),2619.0,2442.517055516901,1638.9156880974979,3235.8721301368714,اسباب کشی با خاور و کامیون
(1403-07),1757.0,1870.5741371991778,1095.8150044909203,2645.9765895692617,اسباب کشی با خاور و کامیون
(1403-08),1613.0,1807.7909125874849,1033.8684637107797,2577.7034764837704,اسباب کشی با خاور و کامیون
(1403-09),1650.0,1823.7389392426805,1045.2129909142595,2595.7635006523424,اسباب کشی با خاور و کامیون
(1403-10),2050.0,2010.4339624441259,1228.4754835827882,2782.571689714743,اسباب کشی با خاور و کامیون
(1403-11),2242.0,2099.062763222179,1318.2287391252928,2874.8977246119935,اسباب کشی با خاور و کامیون
(1403-12),2369.0,2166.419838680388,1378.433173844085,2957.6295522025944,اسباب کشی با خاور و کامیون
(1404-01),0.0,1735.5918390708669,938.2990417559708,2535.7049781623427,اسباب کشی با خاور و کامیون
(1404-02),0.0,2485.1088242693104,1672.8256768539584,3295.2030066179773,اسباب کشی با خاور و کامیون
(1404-03),0.0,3361.5290222562826,2555.021170217487,4174.573119745426,اسباب کشی با خاور و کامیون
(1404-04),0.0,3841.5363028450206,3027.1239144072756,4640.246809490777,اسباب کشی با خاور و کامیون
(1404-05),0.0,3622.3679508131568,2815.56102614483,4429.659138159996,اسباب کشی با خاور و کامیون
(1404-06),0.0,3530.1165115313247,2717.334983905699,4328.3271134347415,اسباب کشی با خاور و کامیون
(1404-07),0.0,3017.4038368843508,2236.8823936801487,3795.5192119200456,اسباب کشی با خاور و کامیون
(1404-08),0.0,3029.7926970911635,2241.4685449035996,3820.1092699611595,اسباب کشی با خاور و کامیون
(1404-09),0.0,2876.7979897552436,2094.9341526320623,3663.9010781710153,اسباب کشی با خاور و کامیون
(1404-10),0.0,3172.320960729969,2381.2346010670767,3965.548886430318,اسباب کشی با خاور و کامیون
(1404-11),0.0,3278.5700712278735,2488.78451535455,4081.754535998996,اسباب کشی با خاور و کامیون
(1404-12),0.0,3224.217153439923,2454.3691849156535,3989.106294790338,اسباب کشی با خاور و کامیون
(1401-01),219.0,253.5969850418101,52.84133065130357,451.99520764543325,اصلاح صورت و ابرو بانوان
(1401-02),255.0,264.82821916436393,64.50420638913,462.99907908087295,اصلاح صورت و ابرو بانوان
(1401-03),281.0,263.56809494482405,65.1575663118116,460.21067321780333,اصلاح صورت و ابرو بانوان
(1401-04),273.0,285.48111326746516,85.29266777784962,482.98162498440115,اصلاح صورت و ابرو بانوان
(1401-05),279.0,241.88020313184487,44.051023589092345,438.3878350943037,اصلاح صورت و ابرو بانوان
(1401-06),208.0,217.00679005824892,18.370389856135926,414.03434486708625,اصلاح صورت و ابرو بانوان
(1401-07),228.0,219.38910780488186,26.915088665066424,412.3051119508784,اصلاح صورت و ابرو بانوان
(1401-08),213.0,198.54987259516767,4.95567520964259,391.90806589500033,اصلاح صورت و ابرو بانوان
(1401-09),165.0,191.2009397048144,-1.9660998916059862,383.3674791027098,اصلاح صورت و ابرو بانوان
(1401-10),215.0,191.82484877382987,0.9876708489072599,381.898392911317,اصلاح صورت و ابرو بانوان
(1401-11),218.0,209.10918624453956,16.503121649917873,401.8308336807766,اصلاح صورت و ابرو بانوان
(1401-12),485.0,351.8261523599793,166.3003124860237,539.4387631318552,اصلاح صورت و ابرو بانوان
(1402-01),179.0,245.60364342706367,59.54401576508266,432.98715431892947,اصلاح صورت و ابرو بانوان
(1402-02),253.0,250.97227849149652,54.95995867984674,451.8598040305892,اصلاح صورت و ابرو بانوان
(1402-03),204.0,246.74885251501823,48.50352486542717,444.6766931294559,اصلاح صورت و ابرو بانوان
(1402-04),273.0,260.7990631241065,60.2295439664322,459.2768020356226,اصلاح صورت و ابرو بانوان
(1402-05),164.0,205.7880475650506,14.654012929544878,396.5231102486911,اصلاح صورت و ابرو بانوان
(1402-06),179.0,180.18545883727958,-19.19929127138826,378.7143602099823,اصلاح صورت و ابرو بانوان
(1402-07),168.0,180.2712895350074,-16.191188051297654,370.8451477611411,اصلاح صورت و ابرو بانوان
(1402-08),161.0,155.42571489856016,-37.10503194105532,345.6382390591886,اصلاح صورت و ابرو بانوان
(1402-09),168.0,145.641378540355,-47.14439853148213,338.1717508949487,اصلاح صورت و ابرو بانوان
(1402-10),139.0,140.43743537013157,-50.726619671670974,333.5173960965372,اصلاح صورت و ابرو بانوان
(1402-11),166.0,158.97859179241556,-31.66009414683294,352.1257294413536,اصلاح صورت و ابرو بانوان
(1402-12),322.0,301.0731914582293,116.73435168717228,487.1701267580422,اصلاح صورت و ابرو بانوان
(1403-01),124.0,198.4051618746898,7.458475855423792,392.14300892909455,اصلاح صورت و ابرو بانوان
(1403-02),206.0,220.65976491938721,22.109483813014297,419.8088879596274,اصلاح صورت و ابرو بانوان
(1403-03),256.0,230.72327829977638,32.20761807874093,429.61847786354065,اصلاح صورت و ابرو بانوان
(1403-04),258.0,257.28499761611226,56.34673504135874,452.6853001455712,اصلاح صورت و ابرو بانوان
(1403-05),222.0,228.22985091382907,26.400695145562125,425.04971857234165,اصلاح صورت و ابرو بانوان
(1403-06),220.0,208.98564375359436,7.541791318523213,408.9604788826192,اصلاح صورت و ابرو بانوان
(1403-07),226.0,218.0975907971146,33.21364369289405,405.626723699979,اصلاح صورت و ابرو بانوان
(1403-08),195.0,214.8634290952732,24.48135381426455,408.00357337577424,اصلاح صورت و ابرو بانوان
(1403-09),253.0,216.97632587393966,25.968859525941795,410.79109185127777,اصلاح صورت و ابرو بانوان
(1403-10),195.0,229.2396261813738,37.01152257780982,423.41902521692697,اصلاح صورت و ابرو بانوان
(1403-11),240.0,261.27990501651203,66.97136791460557,453.018140471011,اصلاح صورت و ابرو بانوان
