shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1404-04),4570.0,5144.118987243045,4163.7336213134595,6143.200776834198,باربری و جابجایی
(1404-05),6052.0,5623.983865615292,4628.99662321708,6616.148150976186,باربری و جابجایی
(1404-06),6188.0,5598.0409459077155,4600.269303307604,6586.404727891053,باربری و جابجایی
(1404-07),5561.0,4976.907789392217,4020.0192802452643,5955.443022884897,باربری و جابجایی
(1404-08),4956.0,4823.875066092798,3863.174141780964,5788.42378539592,باربری و جابجایی
(1404-09),0.0,4564.035735252962,3601.563518192319,5533.720547907755,باربری و جابجایی
(1404-10),0.0,4761.376937251047,3793.8070052250264,5735.864790925695,باربری و جابجایی
(1404-11),0.0,5045.201057859011,4087.3323879705326,6006.25852129682,باربری و جابجایی
(1404-12),0.0,5111.442283348498,4171.754582318951,6049.983215019402,باربری و جابجایی
(1405-01),0.0,4333.610903344774,3335.6418925343387,5322.325034550437,باربری و جابجایی
(1405-02),0.0,5555.754787690139,4561.980368314294,6564.6131438388875,باربری و جابجایی
(1405-03),0.0,6098.972481686528,5098.014223255772,7099.943875278852,باربری و جابجایی
(1405-04),0.0,6561.419440959376,5556.581378790016,7559.9985077752135,باربری و جابجایی
(1405-05),0.0,7025.398712855993,6022.753017369147,8014.846636781332,باربری و جابجایی
(1405-06),0.0,7023.870561024398,6020.640339831845,8022.448908074625,باربری و جابجایی
(1401-01),109.0,126.95959733261428,20.11859550750214,234.42156025008575,باغبانی و فضای سبز
(1401-02),79.0,106.9656272217906,0.3397059152094779,213.27245223765343,باغبانی و فضای سبز
(1401-03),80.0,95.57652977822724,-12.285969371087486,202.73078511164056,باغبانی و فضای سبز
(1401-04),93.0,100.40636026655665,-5.77353857805473,208.01734115212506,باغبانی و فضای سبز
(1401-05),91.0,118.94863333619496,13.234669781770656,227.22347899583687,باغبانی و فضای سبز
(1401-06),96.0,106.75507174633275,0.6979846650377195,214.414963882003,باغبانی و فضای سبز
(1401-07),76.0,76.43450596347242,-26.90556985345607,181.24908322201068,باغبانی و فضای سبز
(1401-08),97.0,84.64841838885722,-18.11284660075322,189.1160273364553,باغبانی و فضای سبز
(1401-09),144.0,104.34805585038212,0.6574018451271404,208.6183091968114,باغبانی و فضای سبز
(1401-10),154.0,124.25713465795856,19.46001577948186,227.28890351970315,باغبانی و فضای سبز
(1401-11),159.0,137.38762742520825,34.85111314661364,240.2778968724773,باغبانی و فضای سبز
(1401-12),344.0,245.4906989903047,146.12437533942781,345.64332791973845,باغبانی و فضای سبز
(1402-01),203.0,172.84406777166006,64.35815352920548,280.3287317489984,باغبانی و فضای سبز
(1402-02),178.0,151.33697526559823,44.182790504552074,260.1875521707693,باغبانی و فضای سبز
(1402-03),149.0,138.58178353565003,31.866062688032983,247.20933360707684,باغبانی و فضای سبز
(1402-04),148.0,142.620878866238,36.350804769061504,250.37433366184288,باغبانی و فضای سبز
(1402-05),156.0,160.4147508728721,52.65134299274309,267.64918176929154,باغبانی و فضای سبز
(1402-06),126.0,144.2779575306945,40.21220512699122,247.95772300682788,باغبانی و فضای سبز
(1402-07),111.0,114.19088630893947,10.27376496125734,218.40549483118602,باغبانی و فضای سبز
(1402-08),119.0,121.09512874212352,17.138901795338068,224.58767592527377,باغبانی و فضای سبز
(1402-09),101.0,140.70102058686024,37.34606140099931,244.85146176822215,باغبانی و فضای سبز
(1402-10),136.0,158.63573557770658,55.454809203318156,262.21923688360505,باغبانی و فضای سبز
(1402-11),135.0,171.92086713913926,69.32791854973179,274.8012928667984,باغبانی و فضای سبز
(1402-12),219.0,278.85056386892614,178.8075967759987,379.52869625424796,باغبانی و فضای سبز
(1403-01),180.0,208.63610282311723,101.86291625820031,316.34341993060053,باغبانی و فضای سبز
(1403-02),186.0,186.13498205764867,78.43905880726746,292.8329363187867,باغبانی و فضای سبز
(1403-03),209.0,174.66712366785964,67.33293193650279,282.4262663739438,باغبانی و فضای سبز
(1403-04),179.0,177.04054599213168,69.64444048882208,285.6515612838061,باغبانی و فضای سبز
(1403-05),202.0,194.66914110985147,88.18927122922751,302.16049014674985,باغبانی و فضای سبز
(1403-06),206.0,183.6724506420543,76.14681763339833,289.39369091655055,باغبانی و فضای سبز
(1403-07),146.0,148.66342751573043,44.71910897503783,252.25580653857037,باغبانی و فضای سبز
(1403-08),151.0,154.43301757574915,50.41377692029648,258.061018221118,باغبانی و فضای سبز
(1403-09),165.0,175.26695748629962,71.73974602008958,279.2502763456224,باغبانی و فضای سبز
(1403-10),196.0,192.3633118406324,89.21458839430247,296.2178789812326,باغبانی و فضای سبز
(1403-11),221.0,204.8700802608809,98.61313236570166,308.8966485403926,باغبانی و فضای سبز
(1403-12),314.0,319.95561879606083,216.91170389021391,424.07190639705095,باغبانی و فضای سبز
(1404-01),238.0,244.12366573675968,136.0715254190449,350.7957594339355,باغبانی و فضای سبز
(1404-02),209.0,220.012468796933,113.72923290109769,328.7844312739925,باغبانی و فضای سبز
(1404-03),168.0,196.97634385873343,95.92659253492461,297.8295747726028,باغبانی و فضای سبز
(1404-04),195.0,206.55112621439264,103.5387917940773,310.5864644910227,باغبانی و فضای سبز
(1404-05),265.0,231.14284205391525,125.29246979225779,338.6709113259593,باغبانی و فضای سبز
(1404-06),228.0,216.93989246905434,108.17854425353968,323.70328708030274,باغبانی و فضای سبز
(1404-07),231.0,181.26818954989508,76.69354039390365,286.46642674708477,باغبانی و فضای سبز
(1404-08),206.0,190.45593116271138,87.12698174219607,295.12507428493797,باغبانی و فضای سبز
(1404-09),0.0,209.55111182886864,104.22868319154173,313.5780871180694,باغبانی و فضای سبز
(1404-10),0.0,226.21200787670875,124.0318505691262,329.1072609751617,باغبانی و فضای سبز
(1404-11),0.0,240.82675119152782,136.5782844297294,344.2883759057975,باغبانی و فضای سبز
(1404-12),0.0,344.4974861067532,244.42634010402026,443.57455375454407,باغبانی و فضای سبز
(1405-01),0.0,278.5288657291495,171.3290500045663,387.3242307747731,باغبانی و فضای سبز
(1405-02),0.0,255.8855839075272,146.9329936155737,363.709740670667,باغبانی و فضای سبز
(1405-03),0.0,244.6900218628237,137.24746036998707,352.5801938118559,باغبانی و فضای سبز
(1405-04),0.0,246.79455400471295,139.90495353202508,353.812650618269,باغبانی و فضای سبز
(1405-05),0.0,266.4292525346641,159.74515089436795,374.14849197399906,باغبانی و فضای سبز
(1405-06),0.0,252.56042369866725,144.32843275161295,360.9922725989435,باغبانی و فضای سبز
(1401-01),1365.0,1049.2466570060046,268.9025872483358,1825.0503954249675,برقکاری
(1401-02),1494.0,1550.1049458874102,773.8521587503369,2341.7223182341854,برقکاری
(1401-03),1894.0,1777.0654981278863,998.4001057516384,2568.7383692589765,برقکاری
(1401-04),2263.0,2013.935527014538,1234.2218525069306,2788.281685947778,برقکاری
(1401-05),2293.0,2396.802436754413,1623.49472543834,3173.9661931298883,برقکاری
(1401-06),1981.0,1914.5465171413612,1135.1592044456072,2700.1768811672637,برقکاری
