shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category,yhat_diff,yhat_low_diff,yhat_high_diff,min_diff_label,y_lable_frequent
(1402-03),204.0,245.2971408519735,48.11911764546269,438.84916095507305,اصلاح صورت و ابرو بانوان,زیبایی بانوان,41.297140851973495,155.8808823545373,234.84916095507305,yhat_diff,yhat_low_diff
(1402-04),273.0,245.88553272577727,51.95718328052753,439.1838901040402,اصلاح صورت و ابرو بانوان,زیبایی بانوان,27.114467274222733,221.04281671947248,166.1838901040402,yhat_diff,yhat_low_diff
(1402-05),164.0,193.276859081382,7.588391018402101,379.86715788609314,اصلاح صورت و ابرو بانوان,زیبایی بانوان,29.27685908138201,156.4116089815979,215.86715788609317,yhat_diff,yhat_low_diff
(1402-06),179.0,169.53185170124894,-23.51800646135329,363.288518135969,اصلاح صورت و ابرو بانوان,زیبایی بانوان,9.46814829875106,202.51800646135328,184.288518135969,yhat_diff,yhat_low_diff
(1402-07),168.0,170.12085521845276,-18.082466527156715,356.1749489094769,اصلاح صورت و ابرو بانوان,زیبایی بانوان,2.1208552184527605,186.08246652715675,188.17494890947688,yhat_diff,yhat_low_diff
(1402-08),161.0,149.63255591184696,-36.52798167885923,339.767703523348,اصلاح صورت و ابرو بانوان,زیبایی بانوان,11.367444088153036,197.5279816788592,178.76770352334802,yhat_diff,yhat_low_diff
(1402-09),168.0,142.51247125840743,-44.06104924073744,330.0177496813127,اصلاح صورت و ابرو بانوان,زیبایی بانوان,25.48752874159257,212.06104924073745,162.0177496813127,yhat_diff,yhat_low_diff
(1402-10),139.0,138.63261831533444,-49.39009282408918,327.281698857432,اصلاح صورت و ابرو بانوان,زیبایی بانوان,0.3673816846655597,188.3900928240892,188.281698857432,yhat_diff,yhat_low_diff
(1402-11),166.0,149.89955594071571,-36.66779466368536,336.6523176663728,اصلاح صورت و ابرو بانوان,زیبایی بانوان,16.100444059284285,202.66779466368536,170.65231766637282,yhat_diff,yhat_low_diff
(1402-12),322.0,247.313801123724,68.06732543029396,428.8497207106236,اصلاح صورت و ابرو بانوان,زیبایی بانوان,74.686198876276,253.932674569706,106.8497207106236,yhat_diff,yhat_low_diff
