shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service
(1404-01),0.0,399.0236993214497,207.34583047738704,590.3620817720565,اصلاح صورت و ابرو بانوان
(1404-02),0.0,436.35334889890896,241.11749081122068,630.7500744779456,اصلاح صورت و ابرو بانوان
(1404-03),0.0,431.1532156969629,236.29762283360037,624.3807460597475,اصلاح صورت و ابرو بانوان
(1404-04),0.0,462.68474950456664,267.7078889568091,658.9630887411289,اصلاح صورت و ابرو بانوان
(1404-05),0.0,399.3576853301458,201.32962909698253,595.9877336549675,اصلاح صورت و ابرو بانوان
(1404-06),0.0,355.4080704655082,158.74317937132258,549.5788202879475,اصلاح صورت و ابرو بانوان
(1404-07),0.0,379.068613405446,186.85416667938745,571.0149812849462,اصلاح صورت و ابرو بانوان
(1404-08),0.0,347.7035246465026,154.06519224680676,542.9282358862296,اصلاح صورت و ابرو بانوان
(1404-09),0.0,342.39301775195685,149.02319398481012,540.0779171607473,اصلاح صورت و ابرو بانوان
(1404-10),0.0,354.33744100082833,158.8733109876961,553.1023434578046,اصلاح صورت و ابرو بانوان
(1404-11),0.0,404.92840604502794,198.8112036655819,608.4402755620641,اصلاح صورت و ابرو بانوان
(1404-12),0.0,712.1578840686776,468.3868406763754,960.5501938982384,اصلاح صورت و ابرو بانوان
(1401-01),159.0,198.7256502342154,68.9565736245877,329.0272121509834,امداد خودرو
(1401-02),200.0,184.36688458569077,54.23563419061105,312.95416470137695,امداد خودرو
(1401-03),250.0,239.54879446705004,110.2909461169563,368.2899550032901,امداد خودرو
(1401-04),367.0,356.3893860478043,227.71702635744495,485.4377943088656,امداد خودرو
(1401-05),399.0,391.68283656944277,261.2488715448315,518.4290186193069,امداد خودرو
(1401-06),305.0,309.9298234578837,180.19227440504545,439.03253575998804,امداد خودرو
(1401-07),197.0,218.26290022006324,92.12635879089314,342.33267106588767,امداد خودرو
(1401-08),197.0,197.08199372463935,72.65486444461301,323.5900431702307,امداد خودرو
(1401-09),199.0,208.99359679517534,84.6836770660688,332.9455950816714,امداد خودرو
(1401-10),287.0,233.02948724910723,106.87350615889851,358.2551617135995,امداد خودرو
(1401-11),245.0,224.2138841544983,98.7211886651273,348.04770616011547,امداد خودرو
