ds,category,Year,Month,y
2022-04-01,آموزش,1401,1,0
2022-04-01,باربری و جابجایی,1401,1,13
2022-04-01,باغبانی و فضای سبز,1401,1,1
2022-04-01,برقکاری,1401,1,38
2022-04-01,تامین نیروی انسانی,1401,1,0
2022-04-01,تعمیرات موبایل,1401,1,2
2022-04-01,حیوانات خانگی,1401,1,1
2022-04-01,خدمات شرکتی,1401,1,0
2022-04-01,خدمات شیشه ای ساختمان,1401,1,6
2022-04-01,خدمات فوری آچاره,1401,1,2
2022-04-01,خدمات و تعمیرات خودرو,1401,1,21
2022-04-01,خدمات و تعمیرات ساختمان,1401,1,24
2022-04-01,خدمات کامپیوتری,1401,1,4
2022-04-01,خیاطی و تعمیرات لباس,1401,1,0
2022-04-01,زیبایی بانوان,1401,1,24
2022-04-01,سرمایش و گرمایش,1401,1,71
2022-04-01,شستشو,1401,1,20
2022-04-01,طراحی و بازسازی ساختمان,1401,1,0
2022-04-01,لوله کشی,1401,1,41
2022-04-01,مجالس و رویدادها,1401,1,0
2022-04-01,نصب و تعمیر لوازم خانگی,1401,1,55
2022-04-01,نظافت و پذیرایی,1401,1,144
2022-04-01,پزشکی و پرستاری,1401,1,2
2022-04-01,پیرایش و زیبایی آقایان,1401,1,3
2022-04-01,چوب و کابینت,1401,1,9
2022-04-01,کارواش و دیتیلینگ,1401,1,10
2022-04-01,کودک,1401,1,0
2022-04-02,آموزش,1401,1,0
2022-04-02,باربری و جابجایی,1401,1,10
2022-04-02,باغبانی و فضای سبز,1401,1,1
2022-04-02,برقکاری,1401,1,17
2022-04-02,تامین نیروی انسانی,1401,1,0
2022-04-02,تعمیرات موبایل,1401,1,1
2022-04-02,تندرستی و ورزش,1401,1,0
2022-04-02,حیوانات خانگی,1401,1,1
2022-04-02,خدمات شیشه ای ساختمان,1401,1,0
2022-04-02,خدمات فوری آچاره,1401,1,7
2022-04-02,خدمات و تعمیرات خودرو,1401,1,19
2022-04-02,خدمات و تعمیرات ساختمان,1401,1,13
